Date,SKU,Category,Units Sold,Unit Price,Revenue,Cost,Profit
2022-07-01,SKU_B,Snacks,1165,1.5,1747.5,1092.84,654.66
2022-07-01,SKU_C,Personal Care,1025,3.0,3075.0,2112.63,962.37
2022-07-01,SKU_D,Household,1051,4.0,4204.0,2781.44,1422.56
2022-08-01,SKU_A,Beverages,1044,2.5,2610.0,1816.3,793.7
2022-08-01,SKU_B,Snacks,948,1.5,1422.0,1013.97,408.03
2022-08-01,SKU_C,Personal Care,867,3.0,2601.0,1687.87,913.13
2022-08-01,SKU_D,Household,966,4.0,3864.0,2619.02,1244.98
2022-09-01,SKU_A,Beverages,1080,2.5,2700.0,1789.17,910.83
2022-09-01,SKU_B,Snacks,743,1.5,1114.5,836.29,278.21
2022-09-01,SKU_C,Personal Care,1020,3.0,3060.0,2228.18,831.82
2022-09-01,SKU_D,Household,872,4.0,3488.0,2621.81,866.19
2022-10-01,SKU_A,Beverages,878,2.5,2195.0,1680.04,514.96
2022-10-01,SKU_B,Snacks,800,1.5,1200.0,889.42,310.58
2022-10-01,SKU_C,Personal Care,860,3.0,2580.0,1969.5,610.5
2022-10-01,SKU_D,Household,930,4.0,3720.0,2252.69,1467.31
2022-11-01,SKU_A,Beverages,728,2.5,1820.0,1212.84,607.16
2022-11-01,SKU_B,Snacks,893,1.5,1339.5,1048.91,290.59
2022-11-01,SKU_C,Personal Care,903,3.0,2709.0,1712.11,996.89
2022-11-01,SKU_D,Household,962,4.0,3848.0,2420.29,1427.71
2022-12-01,SKU_A,Beverages,992,2.5,2480.0,1573.75,906.25
2022-12-01,SKU_B,Snacks,790,1.5,1185.0,891.26,293.74
2022-12-01,SKU_C,Personal Care,985,3.0,2955.0,1833.97,1121.03
2022-12-01,SKU_D,Household,992,4.0,3968.0,2567.2,1400.8
2023-01-01,SKU_A,Beverages,1108,2.5,2770.0,2201.52,568.48
2023-01-01,SKU_B,Snacks,1097,1.5,1645.5,1269.65,375.85
2023-01-01,SKU_C,Personal Care,1270,3.0,3810.0,2933.09,876.91
2023-01-01,SKU_D,Household,1017,4.0,4068.0,3072.65,995.35
2023-02-01,SKU_A,Beverages,1095,2.5,2737.5,1972.09,765.41
2023-02-01,SKU_B,Snacks,1123,1.5,1684.5,1168.94,515.56
2023-02-01,SKU_C,Personal Care,1313,3.0,3939.0,3073.93,865.07
2023-02-01,SKU_D,Household,1051,4.0,4204.0,2946.19,1257.81
2023-03-01,SKU_A,Beverages,1330,2.5,3325.0,2066.91,1258.09
2023-03-01,SKU_B,Snacks,1296,1.5,1944.0,1250.28,693.72
2023-03-01,SKU_C,Personal Care,1417,3.0,4251.0,3155.76,1095.24
2023-03-01,SKU_D,Household,1391,4.0,5564.0,3444.87,2119.13
2023-04-01,SKU_A,Beverages,1381,2.5,3452.5,2619.05,833.45
2023-04-01,SKU_B,Snacks,1131,1.5,1696.5,1295.68,400.82
2023-04-01,SKU_C,Personal Care,1290,3.0,3870.0,2871.02,998.98
2023-04-01,SKU_D,Household,1285,4.0,5140.0,3330.72,1809.28
2023-05-01,SKU_A,Beverages,1035,2.5,2587.5,2034.31,553.19
2023-05-01,SKU_B,Snacks,1232,1.5,1848.0,1364.02,483.98
2023-05-01,SKU_C,Personal Care,1447,3.0,4341.0,3442.69,898.31
2023-05-01,SKU_D,Household,1432,4.0,5728.0,4462.19,1265.81
2023-06-01,SKU_A,Beverages,1348,2.5,3370.0,2387.96,982.04
2023-06-01,SKU_B,Snacks,970,1.5,1455.0,954.63,500.37
2023-06-01,SKU_C,Personal Care,1030,3.0,3090.0,2406.03,683.97
2023-06-01,SKU_D,Household,1102,4.0,4408.0,2865.38,1542.62
2023-07-01,SKU_A,Beverages,1276,2.5,3190.0,2521.36,668.64
2023-07-01,SKU_B,Snacks,1138,1.5,1707.0,1159.47,547.53
2023-07-01,SKU_C,Personal Care,1104,3.0,3312.0,2592.12,719.88
2023-07-01,SKU_D,Household,850,4.0,3400.0,2152.69,1247.31
2023-08-01,SKU_A,Beverages,1098,2.5,2745.0,1770.66,974.34
2023-08-01,SKU_B,Snacks,911,1.5,1366.5,1078.69,287.81
2023-08-01,SKU_C,Personal Care,1056,3.0,3168.0,2119.48,1048.52
2023-08-01,SKU_D,Household,1061,4.0,4244.0,3323.9,920.1
2023-09-01,SKU_A,Beverages,994,2.5,2485.0,1682.55,802.45
2023-09-01,SKU_B,Snacks,1042,1.5,1563.0,1171.72,391.28
2023-09-01,SKU_C,Personal Care,1010,3.0,3030.0,2258.8,771.2
2023-09-01,SKU_D,Household,855,4.0,3420.0,2416.35,1003.65
2023-10-01,SKU_A,Beverages,778,2.5,1945.0,1311.38,633.62
2023-10-01,SKU_B,Snacks,858,1.5,1287.0,987.5,299.5
2023-10-01,SKU_C,Personal Care,857,3.0,2571.0,2049.79,521.21
2023-10-01,SKU_D,Household,837,4.0,3348.0,2031.51,1316.49
2023-11-01,SKU_A,Beverages,766,2.5,1915.0,1360.36,554.64
2023-11-01,SKU_B,Snacks,893,1.5,1339.5,1062.95,276.55
2023-11-01,SKU_C,Personal Care,878,3.0,2634.0,2039.62,594.38
2023-11-01,SKU_D,Household,866,4.0,3464.0,2112.87,1351.13
2023-12-01,SKU_A,Beverages,1024,2.5,2560.0,1815.96,744.04
2023-12-01,SKU_B,Snacks,1120,1.5,1680.0,1335.88,344.12
2023-12-01,SKU_C,Personal Care,831,3.0,2493.0,1551.12,941.88
2023-12-01,SKU_D,Household,898,4.0,3592.0,2826.48,765.52
2024-01-01,SKU_A,Beverages,1262,2.5,3155.0,2437.64,717.36
2024-01-01,SKU_B,Snacks,1217,1.5,1825.5,1235.79,589.71
2024-01-01,SKU_C,Personal Care,1078,3.0,3234.0,2015.52,1218.48
2024-01-01,SKU_D,Household,1219,4.0,4876.0,3392.53,1483.47
2024-02-01,SKU_A,Beverages,1185,2.5,2962.5,1864.24,1098.26
2024-02-01,SKU_B,Snacks,1353,1.5,2029.5,1563.57,465.93
2024-02-01,SKU_C,Personal Care,1149,3.0,3447.0,2547.06,899.94
2024-02-01,SKU_D,Household,1022,4.0,4088.0,3004.32,1083.68
2024-03-01,SKU_A,Beverages,1269,2.5,3172.5,2000.86,1171.64
2024-03-01,SKU_B,Snacks,1137,1.5,1705.5,1335.53,369.97
2024-03-01,SKU_C,Personal Care,1274,3.0,3822.0,3010.25,811.75
2024-03-01,SKU_D,Household,1132,4.0,4528.0,3300.77,1227.23
2024-04-01,SKU_A,Beverages,1391,2.5,3477.5,2524.23,953.27
2024-04-01,SKU_B,Snacks,1371,1.5,2056.5,1570.23,486.27
2024-04-01,SKU_C,Personal Care,1332,3.0,3996.0,2618.44,1377.56
2024-04-01,SKU_D,Household,1033,4.0,4132.0,2661.49,1470.51
2024-05-01,SKU_A,Beverages,1468,2.5,3670.0,2643.58,1026.42
2024-05-01,SKU_B,Snacks,941,1.5,1411.5,1058.02,353.48
2024-05-01,SKU_C,Personal Care,1332,3.0,3996.0,2590.29,1405.71
2024-05-01,SKU_D,Household,1291,4.0,5164.0,3528.9,1635.1
2024-06-01,SKU_A,Beverages,1308,2.5,3270.0,2126.69,1143.31
2024-06-01,SKU_B,Snacks,1290,1.5,1935.0,1179.81,755.19
2024-06-01,SKU_C,Personal Care,1070,3.0,3210.0,2433.08,776.92
2024-06-01,SKU_D,Household,1362,4.0,5448.0,4088.6,1359.4
2024-07-01,SKU_A,Beverages,1153,2.5,2882.5,1780.97,1101.53
2024-07-01,SKU_B,Snacks,1220,1.5,1830.0,1448.86,381.14
2024-07-01,SKU_C,Personal Care,1130,3.0,3390.0,2552.99,837.01
2024-07-01,SKU_D,Household,1135,4.0,4540.0,2931.24,1608.76
2024-08-01,SKU_A,Beverages,1190,2.5,2975.0,1808.76,1166.24
2024-08-01,SKU_B,Snacks,962,1.5,1443.0,955.17,487.83
2024-08-01,SKU_C,Personal Care,943,3.0,2829.0,1892.41,936.59
2024-08-01,SKU_D,Household,913,4.0,3652.0,2762.46,889.54
2024-09-01,SKU_A,Beverages,796,2.5,1990.0,1444.15,545.85
2024-09-01,SKU_B,Snacks,873,1.5,1309.5,1002.09,307.41
2024-09-01,SKU_C,Personal Care,905,3.0,2715.0,2119.33,595.67
2024-09-01,SKU_D,Household,810,4.0,3240.0,2336.41,903.59
2024-10-01,SKU_A,Beverages,766,2.5,1915.0,1190.37,724.63
2024-10-01,SKU_B,Snacks,947,1.5,1420.5,949.6,470.9
2024-10-01,SKU_C,Personal Care,877,3.0,2631.0,1662.37,968.63
2024-10-01,SKU_D,Household,842,4.0,3368.0,2397.56,970.44
2024-11-01,SKU_A,Beverages,827,2.5,2067.5,1573.85,493.65
2024-11-01,SKU_B,Snacks,946,1.5,1419.0,898.73,520.27
2024-11-01,SKU_C,Personal Care,858,3.0,2574.0,1707.27,866.73
2024-11-01,SKU_D,Household,966,4.0,3864.0,2369.03,1494.97
2024-12-01,SKU_A,Beverages,924,2.5,2310.0,1582.21,727.79
2024-12-01,SKU_B,Snacks,1132,1.5,1698.0,1098.88,599.12
2024-12-01,SKU_C,Personal Care,973,3.0,2919.0,2233.65,685.35
2024-12-01,SKU_D,Household,1055,4.0,4220.0,2708.63,1511.37
2025-01-01,SKU_A,Beverages,983,2.5,2457.5,1639.49,818.01
2025-01-01,SKU_B,Snacks,934,1.5,1401.0,1057.96,343.04
2025-01-01,SKU_C,Personal Care,1261,3.0,3783.0,2744.93,1038.07
2025-01-01,SKU_D,Household,1029,4.0,4116.0,2644.97,1471.03
2025-02-01,SKU_A,Beverages,1245,2.5,3112.5,2160.68,951.82
2025-02-01,SKU_B,Snacks,1242,1.5,1863.0,1200.22,662.78
2025-02-01,SKU_C,Personal Care,1012,3.0,3036.0,2024.65,1011.35
2025-02-01,SKU_D,Household,1216,4.0,4864.0,3188.45,1675.55
2025-03-01,SKU_A,Beverages,989,2.5,2472.5,1534.72,937.78
2025-03-01,SKU_B,Snacks,1403,1.5,2104.5,1615.66,488.84
2025-03-01,SKU_C,Personal Care,1387,3.0,4161.0,2870.48,1290.52
2025-03-01,SKU_D,Household,1358,4.0,5432.0,3590.14,1841.86
2025-04-01,SKU_A,Beverages,1156,2.5,2890.0,2097.26,792.74
2025-04-01,SKU_B,Snacks,1281,1.5,1921.5,1443.35,478.15
2025-04-01,SKU_C,Personal Care,1197,3.0,3591.0,2685.84,905.16
2025-04-01,SKU_D,Household,1421,4.0,5684.0,3927.85,1756.15
2025-05-01,SKU_A,Beverages,1408,2.5,3520.0,2376.37,1143.63
2025-05-01,SKU_B,Snacks,1438,1.5,2157.0,1689.02,467.98
2025-05-01,SKU_C,Personal Care,1097,3.0,3291.0,2294.15,996.85
2025-05-01,SKU_D,Household,1183,4.0,4732.0,2906.03,1825.97
2025-06-01,SKU_A,Beverages,1395,2.5,3487.5,2602.95,884.55
2025-06-01,SKU_B,Snacks,1220,1.5,1830.0,1360.66,469.34
2025-06-01,SKU_C,Personal Care,1396,3.0,4188.0,2554.09,1633.91
2025-06-01,SKU_D,Household,1305,4.0,5220.0,3992.99,1227.01
